SEQFID	Dynamic_Annotation	Static_Annotation	HMT_ID	Genus	Species	Strain	Contigs	Size_bp
SEQF1067	HOMD	NCBI	HMT-677	Streptococcus	mitis	B6	1	2,146,611
SEQF1068	HOMD		HMT-677	Streptococcus	mitis	NCTC 12261	1	2,045,857
SEQF1069	HOMD	NCBI	HMT-686	Streptococcus	mutans	UA159, ATCC 700610	1	2,030,921
SEQF1070	HOMD	NCBI	HMT-758	Streptococcus	sanguinis	SK36	1	2,388,435
SEQF1072	HOMD	NCBI	HMT-613	Tannerella	forsythia	92A2 not ATCC 43037, FDC 338	1	3,405,521
SEQF1073	HOMD	NCBI	HMT-529	Lactobacillus	acidophilus	NCFM	1	1,993,560
SEQF1074	HOMD		HMT-531	Aggregatibacter	actinomycetemcomitans	HK1651	1	2,105,332
SEQF1075	HOMD		HMT-202	Fusobacterium	nucleatum subsp. polymorphum	ATCC 10953	14	2,428,298
SEQF1076	HOMD	NCBI	HMT-200	Fusobacterium	nucleatum subsp. vincentii	ATCC 49256	302	2,118,259
SEQF1078	HOMD	NCBI	HMT-698	Fusobacterium	nucleatum subsp. nucleatum	ATCC 25586	1	2,174,500
SEQF1079	HOMD		HMT-604	Enterococcus	faecalis	DSM 20478, ATCC 19433, NCTC 775, JCM 8726, NCDO 58	225	91,964
SEQF1080	HOMD	NCBI	HMT-604	Enterococcus	faecalis	V583, ATCC 700802	4	3,359,974
SEQF1082		NCBI	HMT-827	Yersinia	pestis	biovar Microtus str. 91001	5	4,803,217
SEQF1083	HOMD	NCBI	HMT-738	Anaerococcus	prevotii	DSM 20548, PC1, ATCC 9321	2	1,998,633
SEQF1084	HOMD	NCBI	HMT-723	Atopobium	parvulum	DSM 20469, IPP 1246, ATCC 33793	1	1,543,805
SEQF1086	HOMD	NCBI	HMT-828	Bordetella	pertussis	Tohama I, ATCC BAA-589, NCTC-13251	1	4,086,189
SEQF1087		NCBI	HMT-485	Agrobacterium	tumefaciens	biovar II K84	5	7,273,300
SEQF1088	HOMD		HMT-603	Bulleidia	extructa	ATCC BAA-170, DSM 13220	350	385,332
SEQF1089	HOMD		HMT-748	Campylobacter	rectus	ATCC 33238	356	353,298
SEQF1091	HOMD		HMT-763	Campylobacter	showae	ATCC 51146	352	339,586
SEQF1092	HOMD	NCBI	HMT-684	Mitsuokella	multacida	DSM 20544, A 405-1, ATCC 27723, NCTC 10	28	2,573,867
SEQF1095		NCBI	HMT-818	Lactobacillus	reuteri clade 818	F275, JCM 1112, DSM 20016	1	1,999,618
SEQF1096		NCBI	HMT-822	Mycobacterium	tuberculosis	F11 (ExPEC)	1	4,424,435
SEQF1099		NCBI	HMT-827	Yersinia	pestis	Pestoides F	3	4,725,862
SEQF1100		NCBI	HMT-669	Neisseria	meningitidis	053442	1	2,153,416
SEQF1102	HOMD	NCBI	HMT-833	Moraxella	catarrhalis	RH4	1	1,863,286
SEQF1103	HOMD	NCBI	HMT-118	Dialister	invisus	DSM 15470	2	1,895,860
SEQF1104		NCBI	HMT-839	Lactobacillus	jensenii	JV-V16	2	1,600,834
SEQF1108	HOMD		HMT-105	Peptostreptococcaceae [XI][G-1]	[Eubacterium] infirmum	ATCC 700433, NCTC 12940	413	408,875
SEQF1109	HOMD	NCBI	HMT-621	Neisseria	gonorrhoeae	NCCP11945	2	2,236,178
SEQF1111		NCBI	HMT-641	Haemophilus	influenzae	6P18H1	28	1,912,236
SEQF1112		NCBI	HMT-641	Haemophilus	influenzae	7P49H1	19	1,827,667
SEQF1116		NCBI	HMT-734	Streptococcus	pneumoniae	CGSP14	1	2,209,198
SEQF1119		NCBI	HMT-812	Helicobacter	pylori	Shi470	1	1,608,548
SEQF1120		NCBI	HMT-818	Lactobacillus	reuteri clade 818	100-23	2	2,305,557
SEQF1121	HOMD	NCBI	HMT-818	Lactobacillus	reuteri clade 818	JCM 1112, F275	1	2,039,414
SEQF1129		NCBI	HMT-822	Mycobacterium	tuberculosis	H37Ra	1	4,419,977
SEQF1130		NCBI	HMT-822	Mycobacterium	tuberculosis	KZN 1435	1	4,398,250
SEQF1132		NCBI	HMT-822	Mycobacterium	tuberculosis	KZN 605	1	4,399,120
SEQF1137		NCBI	HMT-574	Escherichia	coli	O157:H7 str. TW14588	10	5,670,297
SEQF1139		NCBI	HMT-824	Bacillus	anthracis	Tsiankovskii-I	62	5,512,169
SEQF1140		NCBI	HMT-824	Bacillus	anthracis	str. A0174	60	5,291,908
SEQF1141		NCBI	HMT-824	Bacillus	anthracis	str. A0193	60	5,392,880
SEQF1142	HOMD	NCBI	HMT-469	Prevotella	melaninogenica	ATCC 25845	2	3,168,282
SEQF1143		NCBI	HMT-824	Bacillus	anthracis	str. A0389	68	5,420,403
SEQF1150		NCBI	HMT-824	Bacillus	anthracis	str. A0442	46	5,374,836
SEQF1151		NCBI	HMT-824	Bacillus	anthracis	str. A0465	57	5,407,149
SEQF1152	HOMD		HMT-678	Solobacterium	moorei	W5408	338	353,572
SEQF1153		NCBI	HMT-824	Bacillus	anthracis	str. A0488	63	5,392,168
SEQF1159	HOMD	NCBI	HMT-160	Veillonella	dispar	ATCC 17748	25	2,116,567
SEQF1160	HOMD	NCBI	HMT-201	Fusobacterium	periodonticum	ATCC 33693	143	2,567,761
SEQF1161		NCBI	HMT-554	Acinetobacter	baumannii	SDF	4	3,477,996
SEQF1164		NCBI	HMT-554	Acinetobacter	baumannii	AYE	5	4,048,735
SEQF1165	HOMD	NCBI	HMT-476	Neisseria	subflava	NJ9703	63	2,292,986
SEQF1166	HOMD	NCBI	HMT-598	Neisseria	elongata	ATCC 29315	153	2,275,949
SEQF1167	HOMD	NCBI	HMT-485	Agrobacterium	tumefaciens	str. C58, ATCC 33970	4	5,674,258
SEQF1170	HOMD	NCBI	HMT-045	Bacillus	clausii	KSM-K16	1	4,303,871
SEQF1173	HOMD	NCBI	HMT-468	Bacillus	subtilis	BSn5	1	4,093,599
SEQF1175	HOMD	NCBI	HMT-682	Neisseria	mucosa	ATCC 25996	67	2,578,748
SEQF1177	HOMD	NCBI	HMT-575	Campylobacter	concisus	strain 13826	3	2,099,413
SEQF1178	HOMD	NCBI	HMT-580	Campylobacter	curvus	525.92	1	1,971,264
SEQF1179		NCBI	HMT-733	Chlamydophila	pneumoniae	AR39	2	1,234,385
SEQF1180		NCBI	HMT-733	Chlamydophila	pneumoniae	CWL029	1	1,230,230
SEQF1181		NCBI	HMT-733	Chlamydophila	pneumoniae	J138	1	1,226,565
SEQF1182	HOMD	NCBI	HMT-733	Chlamydophila	pneumoniae	TW-183	1	1,225,935
SEQF1183	HOMD	NCBI	HMT-737	Neisseria	polysaccharea	ATCC 43768	139	2,030,958
SEQF1184	HOMD	NCBI	HMT-591	Corynebacterium	diphtheriae	NCTC 13129	1	2,488,635
SEQF1185	HOMD	NCBI	HMT-753	Cronobacter	sakazakii	ATCC BAA-894	3	4,530,777
SEQF1186		NCBI	HMT-574	Escherichia	coli	101-1	91	4,979,767
SEQF1187	HOMD	NCBI	HMT-811	Arcanobacterium	haemolyticum	DSM 20595, CCM, ATCC 9345	1	1,986,154
SEQF1188		NCBI	HMT-574	Escherichia	coli	53638	2	5,071,018
SEQF1189		NCBI	HMT-574	Escherichia	coli	55989	1	5,154,862
SEQF1191		NCBI	HMT-574	Escherichia	coli	B str. REL606	1	4,629,812
SEQF1192		NCBI	HMT-574	Escherichia	coli	B171 (O111:NM)	262	5,426,568
SEQF1193		NCBI	HMT-574	Escherichia	coli	B7A (O148:H28:CS6:LT+:ST+)	289	5,300,242
SEQF1194		NCBI	HMT-574	Escherichia	coli	CFT073	1	5,231,428
SEQF1195	HOMD	NCBI	HMT-610	Neisseria	flavescens	NRL30031/H210	117	2,205,588
SEQF1196		NCBI	HMT-574	Escherichia	coli	E110019 (O111:H9)	137	5,376,211
SEQF1197		NCBI	HMT-574	Escherichia	coli	E22	127	5,528,238
SEQF1198		NCBI	HMT-574	Escherichia	coli	E24377A	7	5,249,288
SEQF1199		NCBI	HMT-574	Escherichia	coli	042	2	5,355,323
SEQF1200		NCBI	HMT-574	Escherichia	coli	ED1a (O81)	1	5,209,548
SEQF1203		NCBI	HMT-574	Escherichia	coli	F11	119	5,215,961
SEQF1205		NCBI	HMT-574	Escherichia	coli	HS	1	4,643,538
SEQF1206		NCBI	HMT-574	Escherichia	coli	IAI1 (O8)	1	4,700,560
SEQF1207		NCBI	HMT-574	Escherichia	coli	IAI39 (O7:K1)	1	5,132,068
SEQF1208		NCBI	HMT-574	Escherichia	coli	str. K-12 substr. MG1655	1	4,639,675
SEQF1213		NCBI	HMT-574	Escherichia	coli	O157:H7 EDL933	2	5,620,522
SEQF1217		NCBI	HMT-574	Escherichia	coli	S88 (O45:K1)	2	5,166,121
SEQF1218		NCBI	HMT-574	Escherichia	coli	UMN026 (O17:K52:H18)	3	5,358,200
SEQF1219		NCBI	HMT-574	Escherichia	coli	UTI89	2	5,179,971
SEQF1220		NCBI	HMT-574	Escherichia	coli	K12 W3110	1	4,646,332
SEQF1221	HOMD	NCBI	HMT-545	Aggregatibacter	aphrophilus	NJ8700	1	2,313,035
SEQF1223		NCBI	HMT-641	Haemophilus	influenzae	22.1-21	18	1,888,582
SEQF1224		NCBI	HMT-641	Haemophilus	influenzae	 22.4-21	44	1,851,097
SEQF1226		NCBI	HMT-641	Haemophilus	influenzae	3655	23	1,878,368
SEQF1227		NCBI	HMT-641	Haemophilus	influenzae	86-028NP	1	1,914,490
SEQF1228		NCBI	HMT-641	Haemophilus	influenzae	PittAA	40	1,876,892
SEQF1231		NCBI	HMT-641	Haemophilus	influenzae	PittEE	1	1,813,033
SEQF1232	HOMD	NCBI	HMT-641	Haemophilus	influenzae	PittGG	1	1,887,192
SEQF1233		NCBI	HMT-641	Haemophilus	influenzae	PittHH	59	1,837,347
SEQF1234		NCBI	HMT-641	Haemophilus	influenzae	PittII	25	1,954,291
SEQF1235		NCBI	HMT-641	Haemophilus	influenzae	R2846	1	1,819,370
SEQF1236		NCBI	HMT-641	Haemophilus	influenzae	R2866	1	1,932,306
SEQF1237		NCBI	HMT-641	Haemophilus	influenzae	R3021	46	1,875,614
SEQF1238		NCBI	HMT-641	Haemophilus	influenzae	10810	1	1,981,535
SEQF1239	HOMD	NCBI	HMT-718	Haemophilus	parainfluenzae	T3T1	1	2,086,875
SEQF1240		NCBI	HMT-812	Helicobacter	pylori	26695	1	1,667,867
SEQF1243		NCBI	HMT-812	Helicobacter	pylori	52	1	1,568,826
SEQF1244		NCBI	HMT-812	Helicobacter	pylori	HPAG1	2	1,605,736
SEQF1245		NCBI	HMT-812	Helicobacter	pylori	J99	1	1,643,831
SEQF1246	HOMD	NCBI	HMT-568	Lactobacillus	casei	BL23	1	3,079,196
SEQF1247		NCBI	HMT-574	Escherichia	coli	O157:H7 str. TW14359	2	5,622,737
SEQF1249	HOMD	NCBI	HMT-731	Klebsiella	pneumoniae	342	3	5,920,257
SEQF1250		NCBI	HMT-731	Klebsiella	pneumoniae	MGH 78578, ATCC 700721	6	5,694,894
SEQF1252	HOMD	NCBI	HMT-558	Lactobacillus	brevis	ATCC 367	3	2,340,228
SEQF1254		NCBI	HMT-716	Lactobacillus	paracasei	ATCC 334	2	2,924,325
SEQF1255	HOMD	NCBI	HMT-615	Lactobacillus	gasseri	ATCC 33323	1	1,894,360
SEQF1257		NCBI	HMT-749	Lactobacillus	rhamnosus	HN001	94	2,874,106
SEQF1259	HOMD	NCBI	HMT-756	Lactobacillus	salivarius	UCC118	4	2,133,977
SEQF1260		NCBI	HMT-604	Enterococcus	faecalis	TX0104	237	3,106,826
SEQF1261	HOMD	NCBI	HMT-649	Neisseria	lactamica	ATCC 23970	101	2,171,992
SEQF1262	HOMD		HMT-716	Lactobacillus	paracasei	8700:2	90	2,978,271
SEQF1263	HOMD	NCBI	HMT-607	Mycoplasma	fermentans	M64	1	1,118,751
SEQF1264	HOMD	NCBI	HMT-764	Neisseria	sicca	ATCC 29256	61	2,830,772
SEQF1265		NCBI	HMT-607	Mycoplasma	fermentans	PG18	1	1,004,014
SEQF1267	HOMD	NCBI	HMT-616	Mycoplasma	genitalium	G37, ATCC 33530	1	580,076
SEQF1271	HOMD	NCBI	HMT-732	Mycoplasma	pneumoniae	M129, ATCC29342	1	816,394
SEQF1272		NCBI	HMT-621	Neisseria	gonorrhoeae	FA 1090, ATCC 700825	1	2,153,922
SEQF1275		NCBI	HMT-669	Neisseria	meningitidis	serogroup C, FAM18	1	2,194,961
SEQF1276	HOMD	NCBI	HMT-669	Neisseria	meningitidis	MC58	1	2,272,360
SEQF1277		NCBI	HMT-669	Neisseria	meningitidis	8013 (serogroup C)	1	2,277,550
SEQF1283		NCBI	HMT-669	Neisseria	meningitidis	serogroup A, Z2491	1	2,184,406
SEQF1284	HOMD		HMT-544	Ochrobactrum	anthropi		143	99,498
SEQF1286		NCBI	HMT-530	Cutibacterium	acnes	KPA171202, DSM 16379	1	2,560,265
SEQF1287	HOMD	NCBI	HMT-563	Leptotrichia	buccalis	C-1013-b, DSM 1135, ATCC 14201, JCM 1296	1	2,465,610
SEQF1289	HOMD	NCBI	HMT-676	Proteus	mirabilis	HI4320	2	4,099,895
SEQF1295		NCBI	HMT-536	Pseudomonas	aeruginosa	PA7	1	6,588,339
SEQF1297		NCBI	HMT-536	Pseudomonas	aeruginosa	PAO1	1	6,264,404
SEQF1298		NCBI	HMT-536	Pseudomonas	aeruginosa	UCBPP-PA14	1	6,537,648
SEQF1300	HOMD	NCBI	HMT-612	Pseudomonas	fluorescens	Pf-5	1	7,074,893
SEQF1301	HOMD	NCBI	HMT-612	Pseudomonas	fluorescens	Pf0-1	1	6,438,405
SEQF1302		NCBI	HMT-612	Pseudomonas	fluorescens	SBW25	1	6,722,539
SEQF1303	HOMD	NCBI	HMT-477	Pseudomonas	stutzeri	A1501, CGMCC 0351	1	4,567,418
SEQF1310		NCBI	HMT-550	Staphylococcus	aureus	RF122	1	2,742,531
SEQF1311		NCBI	HMT-550	Staphylococcus	aureus	COL	2	2,813,862
SEQF1312	HOMD	NCBI	HMT-550	Staphylococcus	aureus	JH1	2	2,936,936
SEQF1313		NCBI	HMT-550	Staphylococcus	aureus	JH9	2	2,937,129
SEQF1314		NCBI	HMT-550	Staphylococcus	aureus	MRSA252	1	2,902,619
SEQF1315		NCBI	HMT-550	Staphylococcus	aureus	MSSA476	2	2,820,454
SEQF1316		NCBI	HMT-550	Staphylococcus	aureus	Mu50, (VRSA),  ATCC 700699	2	2,903,636
SEQF1317		NCBI	HMT-550	Staphylococcus	aureus	 MW2	1	2,820,462
SEQF1318		NCBI	HMT-550	Staphylococcus	aureus	N315	2	2,839,469
SEQF1319		NCBI	HMT-550	Staphylococcus	aureus	NCTC 8325	1	2,821,361
SEQF1320		NCBI	HMT-550	Staphylococcus	aureus	MRSA, USA300, FPR3757	4	2,917,469
SEQF1322		NCBI	HMT-601	Staphylococcus	epidermidis	 ATCC 12228	7	2,564,615
SEQF1324	HOMD	NCBI	HMT-601	Staphylococcus	epidermidis	RP62A, ATCC 35984	2	2,643,840
SEQF1326		NCBI	HMT-805	Treponema	pallidum	subsp. pertenue Gauthier	1	1,139,417
SEQF1328		NCBI	HMT-805	Treponema	pallidum	subsp. pertenue str. CDC2	1	1,139,744
SEQF1329	HOMD	NCBI	HMT-663	Stenotrophomonas	maltophilia	K279a	1	4,851,126
SEQF1330	HOMD	NCBI	HMT-663	Stenotrophomonas	maltophilia	R551-3	1	4,573,969
SEQF1331		NCBI	HMT-537	Streptococcus	agalactiae	18RS21	553	2,193,092
SEQF1332		NCBI	HMT-537	Streptococcus	agalactiae	2603V/R	1	2,160,267
SEQF1333		NCBI	HMT-537	Streptococcus	agalactiae	515	255	2,088,229
SEQF1334		NCBI	HMT-537	Streptococcus	agalactiae	A909	1	2,127,839
SEQF1335		NCBI	HMT-537	Streptococcus	agalactiae	CJB111	155	2,105,032
SEQF1336		NCBI	HMT-537	Streptococcus	agalactiae	COH1	393	2,205,442
SEQF1337		NCBI	HMT-537	Streptococcus	agalactiae	H36B	345	2,201,150
SEQF1338	HOMD	NCBI	HMT-537	Streptococcus	agalactiae	NEM316	1	2,211,485
SEQF1341		NCBI	HMT-734	Streptococcus	pneumoniae	670-6B	1	2,240,045
SEQF1342		NCBI	HMT-734	Streptococcus	pneumoniae	 D39	1	2,046,115
SEQF1343		NCBI	HMT-734	Streptococcus	pneumoniae	INV104	1	2,142,122
SEQF1344		NCBI	HMT-734	Streptococcus	pneumoniae	INV200	1	2,093,317
SEQF1345		NCBI	HMT-734	Streptococcus	pneumoniae	OXC141	1	2,036,867
SEQF1346		NCBI	HMT-734	Streptococcus	pneumoniae	R6	1	2,038,615
SEQF1349		NCBI	HMT-734	Streptococcus	pneumoniae	TIGR4	1	2,160,842
SEQF1350		NCBI	HMT-805	Treponema	pallidum	subsp. pertenue str. SamoaD	1	1,139,330
SEQF1351		NCBI	HMT-812	Helicobacter	pylori	98-10	51	1,571,772
SEQF1352		NCBI	HMT-812	Helicobacter	pylori	B128	73	1,649,221
SEQF1355		NCBI	HMT-745	Streptococcus	pyogenes	Manfredo (M5) M5	1	1,841,271
SEQF1356	HOMD	NCBI	HMT-745	Streptococcus	pyogenes	MGAS10270	1	1,928,252
SEQF1357		NCBI	HMT-745	Streptococcus	pyogenes	M6 MGAS10394, ATCC BAA-946	1	1,899,877
SEQF1358		NCBI	HMT-745	Streptococcus	pyogenes	MGAS10750, ATCC BAA-1066	1	1,937,111
SEQF1359		NCBI	HMT-745	Streptococcus	pyogenes	MGAS2096, ATCC BAA-1065	1	1,860,355
SEQF1360		NCBI	HMT-745	Streptococcus	pyogenes	MGAS315, ATCC BAA-595	1	1,900,521
SEQF1361		NCBI	HMT-745	Streptococcus	pyogenes	M1 MGAS5005, ATCC BAA-947	1	1,838,554
SEQF1362		NCBI	HMT-745	Streptococcus	pyogenes	M28 MGAS6180, ATCC BAA-1064	1	1,897,573
SEQF1363		NCBI	HMT-745	Streptococcus	pyogenes	MGAS8232, ATCC BAA-572	1	1,895,017
SEQF1364		NCBI	HMT-745	Streptococcus	pyogenes	MGAS9429, ATCC BAA-1315	1	1,836,467
SEQF1365		NCBI	HMT-745	Streptococcus	pyogenes	SSI-1	1	1,894,275
SEQF1366		NCBI	HMT-755	Streptococcus	salivarius	JIM8777	1	2,210,574
SEQF1367	HOMD	NCBI	HMT-755	Streptococcus	salivarius	CCHSS3, JIM8780	1	2,217,184
SEQF1368		NCBI	HMT-817	Lactobacillus	crispatus	JV-V01	234	2,066,562
SEQF1369		NCBI	HMT-818	Lactobacillus	reuteri clade 818	SD2112	5	2,316,838
SEQF1376		NCBI	HMT-574	Escherichia	coli	SE11	7	5,155,626
SEQF1380		NCBI	HMT-745	Streptococcus	pyogenes	SF370 (serotype M1 GAS), ATCC 700294	1	1,852,441
SEQF1382		NCBI	HMT-686	Streptococcus	mutans	NN2025	1	2,013,587
SEQF1384		NCBI	HMT-554	Acinetobacter	baumannii	ATCC 17978	3	4,001,457
SEQF1385		NCBI	HMT-588	Bifidobacterium	dentium	Bd1	1	2,636,367
SEQF1388	HOMD	NCBI	HMT-701	Actinomyces	odontolyticus	ATCC 17982, DSM 43331	4	2,393,758
SEQF1393	HOMD	NCBI	HMT-112	Peptostreptococcus	stomatis	DSM 17678, W2278	68	1,986,620
SEQF1395	HOMD	NCBI	HMT-717	Variovorax	paradoxus	S110	2	6,754,997
SEQF1398		NCBI	HMT-554	Acinetobacter	baumannii	ACICU	3	3,996,761
SEQF1399		NCBI	HMT-733	Chlamydophila	pneumoniae	LPCoLN	2	1,248,550
SEQF1400		NCBI	HMT-734	Streptococcus	pneumoniae	SP11-BS70	25	2,059,769
SEQF1401		NCBI	HMT-734	Streptococcus	pneumoniae	SP14-BS69	49	2,146,293
SEQF1402		NCBI	HMT-734	Streptococcus	pneumoniae	SP18-BS74	28	2,104,549
SEQF1403		NCBI	HMT-734	Streptococcus	pneumoniae	SP19-BS75	30	2,135,318
SEQF1404		NCBI	HMT-734	Streptococcus	pneumoniae	SP23-BS72	32	2,102,291
SEQF1405		NCBI	HMT-734	Streptococcus	pneumoniae	SP3-BS71	24	2,032,681
SEQF1406		NCBI	HMT-734	Streptococcus	pneumoniae	SP6-BS73	38	2,161,512
SEQF1407		NCBI	HMT-734	Streptococcus	pneumoniae	SP9-BS68	61	2,115,676
SEQF1408		NCBI	HMT-574	Escherichia	coli	0157:H7 str. Sakai	3	5,594,477
SEQF1413	HOMD	NCBI	HMT-023	Delftia	acidovorans	SPH-1, ATCC15668	1	6,767,514
SEQF1419		NCBI	HMT-805	Treponema	pallidum	Dallas1	1	1,139,971
SEQF1429		NCBI	HMT-574	Escherichia	coli	C str. ATCC 8739	1	4,746,218
SEQF1430		NCBI	HMT-574	Escherichia	coli	APEC O1	3	5,497,653
SEQF1431		NCBI	HMT-550	Staphylococcus	aureus	str. Newman	1	2,878,897
SEQF1433		NCBI	HMT-574	Escherichia	coli	536	1	4,938,920
SEQF1449		NCBI	HMT-604	Enterococcus	faecalis	HH22	307	3,049,822
SEQF1451	HOMD		HMT-274	Bacteroidales [G-2]	bacterium HMT 274	F0058	28	2,106,000
SEQF1452	HOMD		HMT-299	Prevotella	nanceiensis	F0039	32	2,443,517
SEQF1456		NCBI	HMT-825	Listeria	monocytogenes	10403S	1	2,903,106
SEQF1457	HOMD	NCBI	HMT-544	Ochrobactrum	anthropi	ATCC 49188	6	5,205,777
SEQF1459		NCBI	HMT-825	Listeria	monocytogenes	F6900	23	2,968,620
SEQF1468	HOMD		HMT-348	Saccharibacteria (TM7) [G-1]	bacterium HMT 348	TM7b	85	112,753
SEQF1469	HOMD		HMT-348	Saccharibacteria (TM7) [G-1]	bacterium HMT 348	TM7c	129	474,179
SEQF1472	HOMD		HMT-386	Peptoniphilus	sp. HMT 386	F0131	72	1,550,062
SEQF1474	HOMD		HMT-357	Pyramidobacter	piscolens	W5455 (TFI)	385	276,552
SEQF1475	HOMD		HMT-357	Pyramidobacter	piscolens	W5455 (JCVI)	467	338,862
SEQF1476	HOMD		HMT-777	Jonquetella	anthropi	E3_33 E1	509	618,283
SEQF1477	HOMD		HMT-317	Prevotella	sp. HMT 317	F0108	205	3,994,572
SEQF1478	HOMD	NCBI	HMT-107	Lachnoanaerobaculum	umeaense	F0167	104	3,279,855
SEQF1479		NCBI	HMT-825	Listeria	monocytogenes	FSL J1-194	30	2,989,818
SEQF1480	HOMD	NCBI	HMT-579	Cryptobacterium	curtum	DSM 15641, ATCC 700683, 12-3T	1	1,617,804
SEQF1481	HOMD	NCBI	HMT-565	Enterobacter	cancerogenus	ATCC 35316	54	4,631,443
SEQF1482	HOMD	NCBI	HMT-804	Lactococcus	lactis	IL1403	1	2,365,589
SEQF1485	HOMD	NCBI	HMT-554	Acinetobacter	baumannii	AB0057	2	4,059,242
SEQF1486		NCBI	HMT-554	Acinetobacter	baumannii	MDR-ZJ06	2	4,011,434
SEQF1487		NCBI	HMT-641	Haemophilus	influenzae	HK1212	1,262	859,497
SEQF1488		NCBI	HMT-550	Staphylococcus	aureus	930918-3	736	2,923,460
SEQF1489		NCBI	HMT-550	Staphylococcus	aureus	D30	463	2,775,621
SEQF1490		NCBI	HMT-550	Staphylococcus	aureus	Mu3	1	2,880,168
SEQF1491		NCBI	HMT-550	Staphylococcus	aureus	USA300_TCH959	256	2,810,505
