#Organism Name	Organism Groups	Strain	BioSample	BioProject	Assembly	Level	Size(Mb)	GC%	Replicons	WGS	Scaffolds	CDS	Release Date	GenBank FTP	RefSeq FTP
Streptococcus infantis	Bacteria;Terrabacteria group;Firmicutes	SK1302	SAMN02435821	PRJNA50779	GCA_000148975.2	Contig	1.79225	39.2	NA	AEDY01	148	1178	2010-10-04	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/148/975/GCA_000148975.2_ASM14897v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/148/975/GCF_000148975.1_ASM14897v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	Challis substr. CH1	SAMN02603977	PRJNA66	GCA_000017005.1	Complete	2.19666	40.5	chromosome:NC_009785.1/CP000725.1	NA	1	2004	2007-09-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/017/005/GCA_000017005.1_ASM1700v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/005/GCF_000017005.1_ASM1700v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	NCTC7865	SAMEA3594362	PRJEB6403	GCA_900475015.1	Complete	2.18761	40.6	chromosome 1:NZ_LS483341.1/LS483341.1	NA	1	1998	2018-06-17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/015/GCA_900475015.1_41975_E01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/015/GCF_900475015.1_41975_E01
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	KCOM 1506 (= ChDC B679)	SAMN03263085	PRJNA270133	GCA_001281105.1	Complete	2.28331	40.6	chromosome:NZ_CP012648.1/CP012648.1	NA	1	2125	2015-09-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/281/105/GCA_001281105.1_ASM128110v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/281/105/GCF_001281105.1_ASM128110v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	NCTC9124	SAMEA3643307	PRJEB6403	GCA_901543415.1	Complete	2.22391	40.4	chromosome 1:NZ_LR594041.1/LR594041.1	NA	1	2005	2019-05-17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/543/415/GCA_901543415.1_42545_E02	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/543/415/GCF_901543415.1_42545_E02
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	FDAARGOS_257	SAMN04875583	PRJNA231221	GCA_002073435.2	Complete	2.22271	40.4	chromosome:NZ_CP020450.2/CP020450.2	NA	1	2060	2017-03-29	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/073/435/GCA_002073435.2_ASM207343v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/435/GCF_002073435.2_ASM207343v2
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	NCTC7868	SAMEA3649040	PRJEB6403	GCA_900636555.1	Complete	2.19666	40.5	chromosome 1:NZ_LR134291.1/LR134291.1	NA	1	2015	2018-12-19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/636/555/GCA_900636555.1_42731_B01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/636/555/GCF_900636555.1_42731_B01
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	FDAARGOS_683	SAMN11056398	PRJNA231221	GCA_009730535.1	Complete	2.19659	40.5	chromosome:NZ_CP046328.1/CP046328.1	NA	1	2010	2019-12-05	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/009/730/535/GCA_009730535.1_ASM973053v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/730/535/GCF_009730535.1_ASM973053v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	IE35	SAMN03445771	PRJNA279321	GCA_000970665.2	Complete	2.1901	40.5	chromosome:NZ_CP017295.1/CP017295.1	NA	1	2032	2016-09-28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/970/665/GCA_000970665.2_ASM97066v2	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/970/665/GCF_000970665.2_ASM97066v2
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	NCTC10231	SAMEA3662936	PRJEB6403	GCA_901544385.1	Complete	2.18555	40.6	chromosome 1:NZ_LR594049.1/LR594049.1	NA	1	1991	2019-05-17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/544/385/GCA_901544385.1_42912_F01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/544/385/GCF_901544385.1_42912_F01
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	NCTC3165	SAMEA3714881	PRJEB6403	GCA_900475385.1	Complete	2.1548	40.5	chromosome 1:NZ_LS483375.1/LS483375.1	NA	1	1995	2018-06-17	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/475/385/GCA_900475385.1_43597_G01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/385/GCF_900475385.1_43597_G01
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	FDAARGOS_371	SAMN07312415	PRJNA231221	GCA_002386285.1	Complete	2.12131	40.7	chromosome:NZ_CP023511.1/CP023511.1	NA	1	1956	2017-09-28	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/386/285/GCA_002386285.1_ASM238628v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/386/285/GCF_002386285.1_ASM238628v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	CCUG 33482	SAMN04395146	PRJNA302716	GCA_001553855.1	Scaffold	2.16676	40.5	NA	LQWV01	41	2012	2016-02-09	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/553/855/GCA_001553855.1_ASM155385v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/553/855/GCF_001553855.1_ASM155385v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	ATCC 10558	SAMN04306534	PRJNA304678	GCA_001469295.1	Scaffold	2.16402	40.5	NA	LOBS01	12	1997	2015-12-18	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/469/295/GCA_001469295.1_ASM146929v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/469/295/GCF_001469295.1_ASM146929v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	NCTC7870	SAMEA3714882	PRJEB6403	GCA_901542355.1	Contig	2.33608	40.5	NA	CABEIB01	3	2127	2019-05-20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/542/355/GCA_901542355.1_43597_H01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/542/355/GCF_901542355.1_43597_H01
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	G9B	SAMN03334895	PRJNA274768	GCA_000959925.1	Contig	2.19745	40.5	NA	JYGL01	2	2032	2015-03-23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/925/GCA_000959925.1_ASM95992v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/925/GCF_000959925.1_ASM95992v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	NCTC7869	SAMEA3649041	PRJEB6403	GCA_901543645.1	Contig	2.27555	40.8	NA	CABEIT01	4	2106	2019-05-20	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/901/543/645/GCA_901543645.1_42731_C01	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/901/543/645/GCF_901543645.1_42731_C01
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	FSS2	SAMN03481559	PRJNA280667	GCA_001589145.1	Contig	2.18569	40.5	NA	LAYI01	18	2026	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/589/145/GCA_001589145.1_ASM158914v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/589/145/GCF_001589145.1_ASM158914v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	UB10712	SAMN03334897	PRJNA274768	GCA_000959965.1	Contig	2.18832	40.6	NA	JYGN01	7	2009	2015-03-23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/959/965/GCA_000959965.1_ASM95996v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/959/965/GCF_000959965.1_ASM95996v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCC27	SAMN09631699	PRJNA480251	GCA_003943355.1	Contig	2.19413	40.4	NA	RJPG01	13	2047	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/355/GCA_003943355.1_ASM394335v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/355/GCF_003943355.1_ASM394335v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCA22	SAMN09631715	PRJNA480251	GCA_003944065.1	Contig	2.13664	40.5	NA	RJOS01	22	1973	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/944/065/GCA_003944065.1_ASM394406v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/944/065/GCF_003944065.1_ASM394406v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCA10	SAMN09631713	PRJNA480251	GCA_003943175.1	Contig	2.23966	40.5	NA	RJOU01	16	2109	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/175/GCA_003943175.1_ASM394317v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/175/GCF_003943175.1_ASM394317v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	AM27-4	SAMN09736360	PRJNA482748	GCA_003469915.1	Scaffold	2.23169	40.5	NA	QSKN01	11	2030	2018-09-06	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/469/915/GCA_003469915.1_ASM346991v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/469/915/GCF_003469915.1_ASM346991v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	I141	SAMN03334909	PRJNA274768	GCA_000963345.1	Contig	2.22877	40.4	NA	JYOZ01	10	2075	2015-03-25	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/963/345/GCA_000963345.1_ASM96334v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/345/GCF_000963345.1_ASM96334v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	MB666	SAMN03480688	PRJNA280679	GCA_001588985.1	Contig	2.30798	40.3	NA	LAYG01	20	2156	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/985/GCA_001588985.1_ASM158898v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/588/985/GCF_001588985.1_ASM158898v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	A10	SAMN09631705	PRJNA480251	GCA_003944105.1	Contig	2.1553	40.5	NA	RJPB01	12	1999	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/944/105/GCA_003944105.1_ASM394410v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/944/105/GCF_003944105.1_ASM394410v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	FSS8	SAMN03480641	PRJNA280670	GCA_001588615.1	Contig	2.15186	40.6	NA	LAWF01	41	2012	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/615/GCA_001588615.1_ASM158861v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/588/615/GCF_001588615.1_ASM158861v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	KLC06	SAMN09631704	PRJNA480251	GCA_003943295.1	Contig	2.24134	40.5	NA	RJPC01	106	2061	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/295/GCA_003943295.1_ASM394329v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/295/GCF_003943295.1_ASM394329v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	A8	SAMN09631709	PRJNA480251	GCA_003943215.1	Contig	2.22535	40.3	NA	RJOX01	19	2072	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/215/GCA_003943215.1_ASM394321v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/215/GCF_003943215.1_ASM394321v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCC62	SAMN09631703	PRJNA480251	GCA_003944115.1	Contig	2.30636	40.4	NA	RJPD01	20	2171	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/944/115/GCA_003944115.1_ASM394411v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/944/115/GCF_003944115.1_ASM394411v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCC57	SAMN09631702	PRJNA480251	GCA_003944155.1	Contig	2.24395	40.4	NA	RJPE01	27	2120	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/944/155/GCA_003944155.1_ASM394415v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/944/155/GCF_003944155.1_ASM394415v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	MW10	SAMN03480689	PRJNA280680	GCA_001588975.1	Contig	2.18611	40.5	NA	LAWM01	27	2025	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/975/GCA_001588975.1_ASM158897v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/588/975/GCF_001588975.1_ASM158897v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	A9	SAMN09631707	PRJNA480251	GCA_003943255.1	Contig	2.18277	40.5	NA	RJOZ01	24	2043	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/255/GCA_003943255.1_ASM394325v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/255/GCF_003943255.1_ASM394325v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	MGYG-HGUT-01342	SAMEA5850845	PRJEB33885	GCA_902374085.1	Scaffold	2.23141	40.5	NA	CABKOS01	5	2086	2019-08-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/374/085/GCA_902374085.1_MGYG-HGUT-01342	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/374/085/GCF_902374085.1_MGYG-HGUT-01342
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	SK120	SAMN03480740	PRJNA280687	GCA_001589055.1	Contig	2.16476	40.4	NA	LAWQ01	28	2006	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/589/055/GCA_001589055.1_ASM158905v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/589/055/GCF_001589055.1_ASM158905v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	PV40	SAMN03480623	PRJNA280650	GCA_001588735.1	Contig	2.19098	40.5	NA	LAVY01	43	2032	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/735/GCA_001588735.1_ASM158873v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/588/735/GCF_001588735.1_ASM158873v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCC29	SAMN09631700	PRJNA480251	GCA_003944135.1	Contig	2.13782	40.5	NA	RJPF01	30	1969	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/944/135/GCA_003944135.1_ASM394413v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/944/135/GCF_003944135.1_ASM394413v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	SK184	SAMN03480741	PRJNA280688	GCA_001589095.1	Contig	2.25506	40.5	NA	LAWR01	53	2132	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/589/095/GCA_001589095.1_ASM158909v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/589/095/GCF_001589095.1_ASM158909v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	SK12	SAMN03480703	PRJNA280686	GCA_001589065.1	Contig	2.14582	40.6	NA	LAWP01	27	2012	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/589/065/GCA_001589065.1_ASM158906v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/589/065/GCF_001589065.1_ASM158906v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCA14	SAMN09631714	PRJNA480251	GCA_003944075.1	Contig	2.19982	40.5	NA	RJOT01	25	2054	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/944/075/GCA_003944075.1_ASM394407v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/944/075/GCF_003944075.1_ASM394407v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	PK488	SAMN03480700	PRJNA280683	GCA_001589035.1	Contig	2.20267	40.4	NA	LAWN01	46	2044	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/589/035/GCA_001589035.1_ASM158903v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/589/035/GCF_001589035.1_ASM158903v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	Channon	SAMN03480628	PRJNA280660	GCA_001588795.1	Contig	2.23349	40.6	NA	LAWA01	33	2095	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/795/GCA_001588795.1_ASM158879v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/588/795/GCF_001588795.1_ASM158879v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	FSS3	SAMN03481560	PRJNA280668	GCA_001589135.1	Contig	2.30824	40.2	NA	LBCT01	382	2118	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/589/135/GCA_001589135.1_ASM158913v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/589/135/GCF_001589135.1_ASM158913v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	Blackburn	SAMN03480626	PRJNA280654	GCA_001588775.1	Contig	2.1645	40.5	NA	LAVZ01	50	1995	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/775/GCA_001588775.1_ASM158877v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/588/775/GCF_001588775.1_ASM158877v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	M5	SAMN03480683	PRJNA280676	GCA_001588935.1	Contig	2.1578	40.6	NA	LAWJ01	67	1995	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/935/GCA_001588935.1_ASM158893v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/588/935/GCF_001588935.1_ASM158893v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCA7	SAMN09631711	PRJNA480251	GCA_003943195.1	Contig	2.15054	40.5	NA	RJOW01	36	2004	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/195/GCA_003943195.1_ASM394319v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/195/GCF_003943195.1_ASM394319v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	A11	SAMN09631706	PRJNA480251	GCA_003943285.1	Contig	2.28067	40.2	NA	RJPA01	61	2134	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/285/GCA_003943285.1_ASM394328v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/285/GCF_003943285.1_ASM394328v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	M99	SAMN03480687	PRJNA280677	GCA_001588955.1	Contig	2.16695	40.5	NA	LAWL01	45	2003	2016-03-11	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/588/955/GCA_001588955.1_ASM158895v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/588/955/GCF_001588955.1_ASM158895v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	Streptococcus_gordonii_SS_Bg39	SAMEA5771514	PRJEB26419	GCA_902167685.1	Contig	2.04499	39.1	NA	CABHNK01	43	1916	2019-07-15	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/902/167/685/GCA_902167685.1_Streptococcus_gordonii_SS_Bg39	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/902/167/685/GCF_902167685.1_Streptococcus_gordonii_SS_Bg39
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCC32	SAMN09631701	PRJNA480251	GCA_003943305.1	Contig	2.17007	40.6	NA	RJVX01	73	2003	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/305/GCA_003943305.1_ASM394330v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/305/GCF_003943305.1_ASM394330v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	BCC09	SAMN09631698	PRJNA480251	GCA_003943345.1	Contig	2.22884	40.6	NA	RJVY01	125	2115	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/345/GCA_003943345.1_ASM394334v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/345/GCF_003943345.1_ASM394334v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	A7	SAMN09631708	PRJNA480251	GCA_003943245.1	Contig	2.15196	40.7	NA	RJOY01	136	2015	2018-12-12	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/943/245/GCA_003943245.1_ASM394324v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/943/245/GCF_003943245.1_ASM394324v1
Streptococcus gordonii	Bacteria;Terrabacteria group;Firmicutes	1116_SGOR	SAMN03197070	PRJNA267549	GCA_001070265.1	Contig	1.89015	39.5	NA	JWCQ01	126	1792	2015-07-10	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/070/265/GCA_001070265.1_ASM107026v1	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/070/265/GCF_001070265.1_ASM107026v1
